"record_slot","record_type","gate_id","required_record_index","requirement_id","requirement_label","required_value","accepted_values","owner_input_location","review_status","notes","raw_evidence_policy","does_not_prove"
"partner-2","design_partner_commitment","three_committed_partners","1","next-step-recorded","Concrete next step recorded","true","","designPartnerCommitments[].nextStepRecorded","owner_evidence_required","Examples: pilot scope review, follow-up call, sample artifact review.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-2","design_partner_commitment","three_committed_partners","1","proof-artifact-hashes","Owner-held proof artifact hashes","At least one non-placeholder sha256 hash","","designPartnerCommitments[].proofArtifactHashes","owner_evidence_required","Generate hashes with npm run hash:owner-evidence-artifacts -- <local partner/outcome proof files>. When hashing proof artifacts, use ordinary owner-held files outside git or under an ignored local proof path. The hasher rejects symbolic links, hard-linked files, tracked files, staged files, and non-ignored repository files; copy proof material to a single-link owner-held file before hashing.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-2","design_partner_commitment","three_committed_partners","1","proof-artifact-types","Supported proof artifact types","artifact_review_log plus at least one of permissioned_email; signed_pilot_scope","permissioned_email; signed_pilot_scope; artifact_review_log; crm_stage_snapshot; calendar_hold; call_note","designPartnerCommitments[].proofArtifactTypes","owner_evidence_required","Allowed values come from the verifier.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-2","design_partner_commitment","three_committed_partners","1","raw-evidence-owner-held","Raw evidence owner-held attestation","true","","designPartnerCommitments[].rawEvidenceOwnerHeld","owner_evidence_required","Raw partner names, contacts, profile URLs, meeting/calendar links, contracts, notes, and proof artifacts stay outside git.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-2","design_partner_commitment","three_committed_partners","1","redaction-level","Redaction boundary","Description with at least 6 characters","","designPartnerCommitments[].redactionLevel","owner_evidence_required","Examples: public_segment_only, founder_private_records.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-2","design_partner_commitment","three_committed_partners","1","integrity-attestations","Marketing/testimonial integrity attestations","marketingUseReviewed; materialConnectionReviewed; incentiveOrCompensationReviewed; noFakeOrSyntheticTestimonial; noReviewGatingOrSuppression","marketingUseReviewed=true; materialConnectionReviewed=true; incentiveOrCompensationReviewed=true; noFakeOrSyntheticTestimonial=true; noReviewGatingOrSuppression=true","designPartnerCommitments[].integrityAttestations","owner_evidence_required","Owner-held review must cover marketing use, material connections, incentives or compensation, fake/synthetic testimonial risk, and review gating/suppression.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-2","design_partner_commitment","three_committed_partners","1","owner-evidence-archive","Owner-held commercial proof archive","permissionTrailOwnerHeld; pilotScopeRecordOwnerHeld; artifactReviewLogOwnerHeld; contactDetailsOwnerHeldOutsideGit; materialConnectionReviewOwnerHeld; incentiveOrCompensationReviewOwnerHeld; reviewSolicitationNotConditionedOnSentiment; reReviewRequiredBeforePublicUse","permissionTrailOwnerHeld=true; pilotScopeRecordOwnerHeld=true; artifactReviewLogOwnerHeld=true; contactDetailsOwnerHeldOutsideGit=true; materialConnectionReviewOwnerHeld=true; incentiveOrCompensationReviewOwnerHeld=true; reviewSolicitationNotConditionedOnSentiment=true; reReviewRequiredBeforePublicUse=true","designPartnerCommitments[].ownerEvidenceArchive","owner_evidence_required","Owner-held archive metadata must confirm permission trails, pilot scope records, artifact review logs, contact details, material-connection review, incentive review, non-sentiment-conditioned solicitation, and required re-review before public use.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-2","design_partner_commitment","three_committed_partners","1","does-not-prove","Explicit claim boundaries","Non-empty doesNotProve array","","designPartnerCommitments[].doesNotProve","owner_evidence_required","Must include limits such as revenue, successful outcomes, or market-wide demand.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","partner-ref","Stable owner-held partner reference","Non-placeholder partnerRef","","designPartnerCommitments[].partnerRef","owner_evidence_required","Use an internal owner reference only; do not commit names, emails, profile URLs, meeting/calendar links, contracts, or contacts.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","segment","Buyer segment label","Segment such as career_coach, career_center, or workforce_board","","designPartnerCommitments[].segment","owner_evidence_required","Keep segment-level metadata only.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","committed-at","Commitment date","ISO date or datetime not later than asOf","","designPartnerCommitments[].committedAt","owner_evidence_required","Use the date the permissioned pilot commitment was made.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","permissioned","Permission to cite/use record","true","","designPartnerCommitments[].permissioned","owner_evidence_required","Do not count informal or unpermissioned conversations.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","contact-permission","Contact permission","true","","designPartnerCommitments[].contactPermission","owner_evidence_required","Owner must hold the permission trail outside git.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","pilot-scope-accepted","Pilot scope accepted","true","","designPartnerCommitments[].pilotScopeAccepted","owner_evidence_required","A lead or polite reply is not a committed pilot scope.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","planning-only-use-confirmed","Planning-only use confirmed","true","","designPartnerCommitments[].planningOnlyUseConfirmed","owner_evidence_required","Preserve the no-employment-selection boundary.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","artifact-reviewed","Product artifact reviewed","Non-empty artifactReviewed","","designPartnerCommitments[].artifactReviewed","owner_evidence_required","Examples: sample_report, trust_center, proof_pack_gallery, cohort_packet.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","next-step-recorded","Concrete next step recorded","true","","designPartnerCommitments[].nextStepRecorded","owner_evidence_required","Examples: pilot scope review, follow-up call, sample artifact review.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","proof-artifact-hashes","Owner-held proof artifact hashes","At least one non-placeholder sha256 hash","","designPartnerCommitments[].proofArtifactHashes","owner_evidence_required","Generate hashes with npm run hash:owner-evidence-artifacts -- <local partner/outcome proof files>. When hashing proof artifacts, use ordinary owner-held files outside git or under an ignored local proof path. The hasher rejects symbolic links, hard-linked files, tracked files, staged files, and non-ignored repository files; copy proof material to a single-link owner-held file before hashing.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","proof-artifact-types","Supported proof artifact types","artifact_review_log plus at least one of permissioned_email; signed_pilot_scope","permissioned_email; signed_pilot_scope; artifact_review_log; crm_stage_snapshot; calendar_hold; call_note","designPartnerCommitments[].proofArtifactTypes","owner_evidence_required","Allowed values come from the verifier.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","raw-evidence-owner-held","Raw evidence owner-held attestation","true","","designPartnerCommitments[].rawEvidenceOwnerHeld","owner_evidence_required","Raw partner names, contacts, profile URLs, meeting/calendar links, contracts, notes, and proof artifacts stay outside git.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","redaction-level","Redaction boundary","Description with at least 6 characters","","designPartnerCommitments[].redactionLevel","owner_evidence_required","Examples: public_segment_only, founder_private_records.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","integrity-attestations","Marketing/testimonial integrity attestations","marketingUseReviewed; materialConnectionReviewed; incentiveOrCompensationReviewed; noFakeOrSyntheticTestimonial; noReviewGatingOrSuppression","marketingUseReviewed=true; materialConnectionReviewed=true; incentiveOrCompensationReviewed=true; noFakeOrSyntheticTestimonial=true; noReviewGatingOrSuppression=true","designPartnerCommitments[].integrityAttestations","owner_evidence_required","Owner-held review must cover marketing use, material connections, incentives or compensation, fake/synthetic testimonial risk, and review gating/suppression.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","owner-evidence-archive","Owner-held commercial proof archive","permissionTrailOwnerHeld; pilotScopeRecordOwnerHeld; artifactReviewLogOwnerHeld; contactDetailsOwnerHeldOutsideGit; materialConnectionReviewOwnerHeld; incentiveOrCompensationReviewOwnerHeld; reviewSolicitationNotConditionedOnSentiment; reReviewRequiredBeforePublicUse","permissionTrailOwnerHeld=true; pilotScopeRecordOwnerHeld=true; artifactReviewLogOwnerHeld=true; contactDetailsOwnerHeldOutsideGit=true; materialConnectionReviewOwnerHeld=true; incentiveOrCompensationReviewOwnerHeld=true; reviewSolicitationNotConditionedOnSentiment=true; reReviewRequiredBeforePublicUse=true","designPartnerCommitments[].ownerEvidenceArchive","owner_evidence_required","Owner-held archive metadata must confirm permission trails, pilot scope records, artifact review logs, contact details, material-connection review, incentive review, non-sentiment-conditioned solicitation, and required re-review before public use.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"partner-3","design_partner_commitment","three_committed_partners","2","does-not-prove","Explicit claim boundaries","Non-empty doesNotProve array","","designPartnerCommitments[].doesNotProve","owner_evidence_required","Must include limits such as revenue, successful outcomes, or market-wide demand.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","outcome-ref","Stable owner-held outcome reference","Non-placeholder outcomeRef","","documentedOutcomes[].outcomeRef","owner_evidence_required","Use an internal owner reference only; do not commit names, quotes, or private notes.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","observed-at","Outcome observation date","ISO date or datetime not later than asOf","","documentedOutcomes[].observedAt","owner_evidence_required","Use the date the owner observed or confirmed the outcome.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","permissioned","Permission to cite/use record","true","","documentedOutcomes[].permissioned","owner_evidence_required","Do not count unpermissioned anecdotes.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","baseline-workflow-captured","Baseline workflow captured","true","","documentedOutcomes[].baselineWorkflowCaptured","owner_evidence_required","Owner-held proof should show the before-state.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","artifact-reviewed","Product artifact reviewed","Non-empty artifactReviewed","","documentedOutcomes[].artifactReviewed","owner_evidence_required","Examples: sample_report, resume_analysis, cohort_packet.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
