"route_path","route_label","checkpoint_id","checkpoint_label","standard_refs","official_reference_urls","review_status","automated_smoke_status","automated_viewports","keyboard_tab_stops_checked","interactive_count_max","owner_held_artifacts","evidence_json_path","does_not_prove"
"/trust-center","commercial trust center","target-size","Pointer target size review","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","30","target measurements; exception rationale; mobile screenshots","checkpointResults[].checkpointId=target-size","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/trust-center","commercial trust center","form-errors-and-redundant-entry","Form errors, labels, instructions, and redundant entry","wcag22; wai-easy-checks","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","30","form error screenshots; label/instruction notes; re-entry test notes","checkpointResults[].checkpointId=form-errors-and-redundant-entry","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/trust-center","commercial trust center","accessible-authentication","Accessible authentication and account/payment access","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","30","auth flow notes; payment/account screenshots with private data redacted; accessibility exception notes","checkpointResults[].checkpointId=accessible-authentication","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/trust-center","commercial trust center","screen-reader-name-role-value","Screen-reader name, role, value, relationships, and keyboard semantics","wcag22; wai-aria-apg","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/ARIA/apg/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","30","screen-reader transcript notes; name/role/value defect log; assistive-technology matrix","checkpointResults[].checkpointId=screen-reader-name-role-value","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/trust-center","commercial trust center","contrast-reflow-text-spacing","Contrast, reflow, non-text contrast, and text spacing","wcag22; wai-easy-checks","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","30","contrast measurements; text-spacing screenshots; reflow notes","checkpointResults[].checkpointId=contrast-reflow-text-spacing","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/trust-center","commercial trust center","downloadable-artifacts","Downloadable HTML/CSV/proof artifact accessibility","wcag22; wai-easy-checks; wai-aria-apg; wcag2ict-22","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/; https://www.w3.org/WAI/ARIA/apg/; https://www.w3.org/TR/wcag2ict-22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","30","downloaded artifact list; artifact screenshots; assistive-technology notes","checkpointResults[].checkpointId=downloadable-artifacts","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/for-coaches","coach landing page","wcag-em-scope","WCAG-EM scope and sampling","wcag-em-overview; wcag-em-2; wcag-em-report-tool","https://www.w3.org/WAI/test-evaluate/conformance/wcag-em/; https://www.w3.org/TR/wcag-em-2/; https://www.w3.org/WAI/eval/report-tool/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","26","15","evaluation scope notes; route sample rationale; sample-selection method notes; technologies relied upon notes; complete-process walkthrough notes; browser/assistive-technology support baseline matrix; WCAG-EM Report Tool JSON or HTML export retained owner-held; review-record archive checklist","checkpointResults[].checkpointId=wcag-em-scope","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/for-coaches","coach landing page","keyboard-focus-not-obscured","Keyboard focus and focus-not-obscured review","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","26","15","keyboard traversal notes; focus screenshots or recordings; issue/remediation log","checkpointResults[].checkpointId=keyboard-focus-not-obscured","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/for-coaches","coach landing page","target-size","Pointer target size review","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","26","15","target measurements; exception rationale; mobile screenshots","checkpointResults[].checkpointId=target-size","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/for-coaches","coach landing page","form-errors-and-redundant-entry","Form errors, labels, instructions, and redundant entry","wcag22; wai-easy-checks","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","26","15","form error screenshots; label/instruction notes; re-entry test notes","checkpointResults[].checkpointId=form-errors-and-redundant-entry","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/for-coaches","coach landing page","accessible-authentication","Accessible authentication and account/payment access","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","26","15","auth flow notes; payment/account screenshots with private data redacted; accessibility exception notes","checkpointResults[].checkpointId=accessible-authentication","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/for-coaches","coach landing page","screen-reader-name-role-value","Screen-reader name, role, value, relationships, and keyboard semantics","wcag22; wai-aria-apg","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/ARIA/apg/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","26","15","screen-reader transcript notes; name/role/value defect log; assistive-technology matrix","checkpointResults[].checkpointId=screen-reader-name-role-value","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/for-coaches","coach landing page","contrast-reflow-text-spacing","Contrast, reflow, non-text contrast, and text spacing","wcag22; wai-easy-checks","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","26","15","contrast measurements; text-spacing screenshots; reflow notes","checkpointResults[].checkpointId=contrast-reflow-text-spacing","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/for-coaches","coach landing page","downloadable-artifacts","Downloadable HTML/CSV/proof artifact accessibility","wcag22; wai-easy-checks; wai-aria-apg; wcag2ict-22","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/; https://www.w3.org/WAI/ARIA/apg/; https://www.w3.org/TR/wcag2ict-22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","26","15","downloaded artifact list; artifact screenshots; assistive-technology notes","checkpointResults[].checkpointId=downloadable-artifacts","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/sample-report","coach sample report","wcag-em-scope","WCAG-EM scope and sampling","wcag-em-overview; wcag-em-2; wcag-em-report-tool","https://www.w3.org/WAI/test-evaluate/conformance/wcag-em/; https://www.w3.org/TR/wcag-em-2/; https://www.w3.org/WAI/eval/report-tool/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","27","evaluation scope notes; route sample rationale; sample-selection method notes; technologies relied upon notes; complete-process walkthrough notes; browser/assistive-technology support baseline matrix; WCAG-EM Report Tool JSON or HTML export retained owner-held; review-record archive checklist","checkpointResults[].checkpointId=wcag-em-scope","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/sample-report","coach sample report","keyboard-focus-not-obscured","Keyboard focus and focus-not-obscured review","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","27","keyboard traversal notes; focus screenshots or recordings; issue/remediation log","checkpointResults[].checkpointId=keyboard-focus-not-obscured","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/sample-report","coach sample report","target-size","Pointer target size review","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","27","target measurements; exception rationale; mobile screenshots","checkpointResults[].checkpointId=target-size","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/sample-report","coach sample report","form-errors-and-redundant-entry","Form errors, labels, instructions, and redundant entry","wcag22; wai-easy-checks","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","27","form error screenshots; label/instruction notes; re-entry test notes","checkpointResults[].checkpointId=form-errors-and-redundant-entry","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/sample-report","coach sample report","accessible-authentication","Accessible authentication and account/payment access","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","27","auth flow notes; payment/account screenshots with private data redacted; accessibility exception notes","checkpointResults[].checkpointId=accessible-authentication","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/sample-report","coach sample report","screen-reader-name-role-value","Screen-reader name, role, value, relationships, and keyboard semantics","wcag22; wai-aria-apg","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/ARIA/apg/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","27","screen-reader transcript notes; name/role/value defect log; assistive-technology matrix","checkpointResults[].checkpointId=screen-reader-name-role-value","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/sample-report","coach sample report","contrast-reflow-text-spacing","Contrast, reflow, non-text contrast, and text spacing","wcag22; wai-easy-checks","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","27","contrast measurements; text-spacing screenshots; reflow notes","checkpointResults[].checkpointId=contrast-reflow-text-spacing","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/sample-report","coach sample report","downloadable-artifacts","Downloadable HTML/CSV/proof artifact accessibility","wcag22; wai-easy-checks; wai-aria-apg; wcag2ict-22","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/; https://www.w3.org/WAI/ARIA/apg/; https://www.w3.org/TR/wcag2ict-22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","27","downloaded artifact list; artifact screenshots; assistive-technology notes","checkpointResults[].checkpointId=downloadable-artifacts","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/resume-analyzer","resume analyzer","wcag-em-scope","WCAG-EM scope and sampling","wcag-em-overview; wcag-em-2; wcag-em-report-tool","https://www.w3.org/WAI/test-evaluate/conformance/wcag-em/; https://www.w3.org/TR/wcag-em-2/; https://www.w3.org/WAI/eval/report-tool/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","12","4","evaluation scope notes; route sample rationale; sample-selection method notes; technologies relied upon notes; complete-process walkthrough notes; browser/assistive-technology support baseline matrix; WCAG-EM Report Tool JSON or HTML export retained owner-held; review-record archive checklist","checkpointResults[].checkpointId=wcag-em-scope","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/resume-analyzer","resume analyzer","keyboard-focus-not-obscured","Keyboard focus and focus-not-obscured review","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","12","4","keyboard traversal notes; focus screenshots or recordings; issue/remediation log","checkpointResults[].checkpointId=keyboard-focus-not-obscured","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/resume-analyzer","resume analyzer","target-size","Pointer target size review","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","12","4","target measurements; exception rationale; mobile screenshots","checkpointResults[].checkpointId=target-size","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/resume-analyzer","resume analyzer","form-errors-and-redundant-entry","Form errors, labels, instructions, and redundant entry","wcag22; wai-easy-checks","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","12","4","form error screenshots; label/instruction notes; re-entry test notes","checkpointResults[].checkpointId=form-errors-and-redundant-entry","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/resume-analyzer","resume analyzer","accessible-authentication","Accessible authentication and account/payment access","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","12","4","auth flow notes; payment/account screenshots with private data redacted; accessibility exception notes","checkpointResults[].checkpointId=accessible-authentication","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/resume-analyzer","resume analyzer","screen-reader-name-role-value","Screen-reader name, role, value, relationships, and keyboard semantics","wcag22; wai-aria-apg","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/ARIA/apg/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","12","4","screen-reader transcript notes; name/role/value defect log; assistive-technology matrix","checkpointResults[].checkpointId=screen-reader-name-role-value","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/resume-analyzer","resume analyzer","contrast-reflow-text-spacing","Contrast, reflow, non-text contrast, and text spacing","wcag22; wai-easy-checks","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","12","4","contrast measurements; text-spacing screenshots; reflow notes","checkpointResults[].checkpointId=contrast-reflow-text-spacing","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/resume-analyzer","resume analyzer","downloadable-artifacts","Downloadable HTML/CSV/proof artifact accessibility","wcag22; wai-easy-checks; wai-aria-apg; wcag2ict-22","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/; https://www.w3.org/WAI/ARIA/apg/; https://www.w3.org/TR/wcag2ict-22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","12","4","downloaded artifact list; artifact screenshots; assistive-technology notes","checkpointResults[].checkpointId=downloadable-artifacts","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/counselor-reports","counselor reports","wcag-em-scope","WCAG-EM scope and sampling","wcag-em-overview; wcag-em-2; wcag-em-report-tool","https://www.w3.org/WAI/test-evaluate/conformance/wcag-em/; https://www.w3.org/TR/wcag-em-2/; https://www.w3.org/WAI/eval/report-tool/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","26","evaluation scope notes; route sample rationale; sample-selection method notes; technologies relied upon notes; complete-process walkthrough notes; browser/assistive-technology support baseline matrix; WCAG-EM Report Tool JSON or HTML export retained owner-held; review-record archive checklist","checkpointResults[].checkpointId=wcag-em-scope","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/counselor-reports","counselor reports","keyboard-focus-not-obscured","Keyboard focus and focus-not-obscured review","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","26","keyboard traversal notes; focus screenshots or recordings; issue/remediation log","checkpointResults[].checkpointId=keyboard-focus-not-obscured","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/counselor-reports","counselor reports","target-size","Pointer target size review","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","26","target measurements; exception rationale; mobile screenshots","checkpointResults[].checkpointId=target-size","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/counselor-reports","counselor reports","form-errors-and-redundant-entry","Form errors, labels, instructions, and redundant entry","wcag22; wai-easy-checks","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","26","form error screenshots; label/instruction notes; re-entry test notes","checkpointResults[].checkpointId=form-errors-and-redundant-entry","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/counselor-reports","counselor reports","accessible-authentication","Accessible authentication and account/payment access","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","26","auth flow notes; payment/account screenshots with private data redacted; accessibility exception notes","checkpointResults[].checkpointId=accessible-authentication","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/counselor-reports","counselor reports","screen-reader-name-role-value","Screen-reader name, role, value, relationships, and keyboard semantics","wcag22; wai-aria-apg","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/ARIA/apg/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","26","screen-reader transcript notes; name/role/value defect log; assistive-technology matrix","checkpointResults[].checkpointId=screen-reader-name-role-value","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/counselor-reports","counselor reports","contrast-reflow-text-spacing","Contrast, reflow, non-text contrast, and text spacing","wcag22; wai-easy-checks","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","26","contrast measurements; text-spacing screenshots; reflow notes","checkpointResults[].checkpointId=contrast-reflow-text-spacing","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/tools/counselor-reports","counselor reports","downloadable-artifacts","Downloadable HTML/CSV/proof artifact accessibility","wcag22; wai-easy-checks; wai-aria-apg; wcag2ict-22","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/; https://www.w3.org/WAI/ARIA/apg/; https://www.w3.org/TR/wcag2ict-22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","26","downloaded artifact list; artifact screenshots; assistive-technology notes","checkpointResults[].checkpointId=downloadable-artifacts","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/enterprise-dashboard","workforce dashboard","wcag-em-scope","WCAG-EM scope and sampling","wcag-em-overview; wcag-em-2; wcag-em-report-tool","https://www.w3.org/WAI/test-evaluate/conformance/wcag-em/; https://www.w3.org/TR/wcag-em-2/; https://www.w3.org/WAI/eval/report-tool/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","10","evaluation scope notes; route sample rationale; sample-selection method notes; technologies relied upon notes; complete-process walkthrough notes; browser/assistive-technology support baseline matrix; WCAG-EM Report Tool JSON or HTML export retained owner-held; review-record archive checklist","checkpointResults[].checkpointId=wcag-em-scope","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/enterprise-dashboard","workforce dashboard","keyboard-focus-not-obscured","Keyboard focus and focus-not-obscured review","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","10","keyboard traversal notes; focus screenshots or recordings; issue/remediation log","checkpointResults[].checkpointId=keyboard-focus-not-obscured","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/enterprise-dashboard","workforce dashboard","target-size","Pointer target size review","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","10","target measurements; exception rationale; mobile screenshots","checkpointResults[].checkpointId=target-size","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/enterprise-dashboard","workforce dashboard","form-errors-and-redundant-entry","Form errors, labels, instructions, and redundant entry","wcag22; wai-easy-checks","https://www.w3.org/TR/WCAG22/; https://www.w3.org/WAI/test-evaluate/preliminary/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","10","form error screenshots; label/instruction notes; re-entry test notes","checkpointResults[].checkpointId=form-errors-and-redundant-entry","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
"/enterprise-dashboard","workforce dashboard","accessible-authentication","Accessible authentication and account/payment access","wcag22","https://www.w3.org/TR/WCAG22/","owner_manual_review_required","automated_smoke_passed","mobile; tablet; desktop","30","10","auth flow notes; payment/account screenshots with private data redacted; accessibility exception notes","checkpointResults[].checkpointId=accessible-authentication","WCAG conformance statement; Legal compliance; Institutional procurement approval; Assistive-technology coverage beyond reviewed combinations; Future accessibility after code changes"
