task_category,industry_sector,implementation_cost_low,implementation_cost_high,roi_timeline_months,technology_maturity,wef_adoption_score,regulatory_friction,min_org_size,annual_labor_cost_threshold,source,source_url,as_of_year,adoption_current_pct,adoption_expected_pct,payback_months,region,country,evidence_note,source_page
,Transportation & Logistics,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Terms of use and disclaimer The findings, interpretations and conclusions and the World Economic Forum will not be liable to expressed in this work do not necessarily reflect users for any claims brought against users by third the views of the World Economi...",2
,Information Technology,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Terms of use and disclaimer The findings, interpretations and conclusions and the World Economic Forum will not be liable to expressed in this work do not necessarily reflect users for any claims brought against users by third the views of the World Economi...",2
,Manufacturing,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,January 2025 Future of Jobs Report 2025 Contents Preface 4 Key findings 5 Part I: The Future of Jobs 2025 7 Introduction: The global labour market landscape in 2025 8 1 Drivers of labour-market transformation 10 1.1 Expected impact of macrotrends on business 10 transformation 2 Jobs outlook 18 2....,3
,Healthcare,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,January 2025 Future of Jobs Report 2025 Contents Preface 4 Key findings 5 Part I: The Future of Jobs 2025 7 Introduction: The global labour market landscape in 2025 8 1 Drivers of labour-market transformation 10 1.1 Expected impact of macrotrends on business 10 transformation 2 Jobs outlook 18 2....,3
,Finance,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,January 2025 Future of Jobs Report 2025 Contents Preface 4 Key findings 5 Part I: The Future of Jobs 2025 7 Introduction: The global labour market landscape in 2025 8 1 Drivers of labour-market transformation 10 1.1 Expected impact of macrotrends on business 10 transformation 2 Jobs outlook 18 2....,3
,Retail,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,January 2025 Future of Jobs Report 2025 Contents Preface 4 Key findings 5 Part I: The Future of Jobs 2025 7 Introduction: The global labour market landscape in 2025 8 1 Drivers of labour-market transformation 10 1.1 Expected impact of macrotrends on business 10 transformation 2 Jobs outlook 18 2....,3
,Transportation & Logistics,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,January 2025 Future of Jobs Report 2025 Contents Preface 4 Key findings 5 Part I: The Future of Jobs 2025 7 Introduction: The global labour market landscape in 2025 8 1 Drivers of labour-market transformation 10 1.1 Expected impact of macrotrends on business 10 transformation 2 Jobs outlook 18 2....,3
,Information Technology,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,January 2025 Future of Jobs Report 2025 Contents Preface 4 Key findings 5 Part I: The Future of Jobs 2025 7 Introduction: The global labour market landscape in 2025 8 1 Drivers of labour-market transformation 10 1.1 Expected impact of macrotrends on business 10 transformation 2 Jobs outlook 18 2....,3
,Manufacturing,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Preface Saadia Zahidi Managing Director World Economic Forum Over the past decade, the World Economic Forum’s the emerging jobs landscape for the 2025-2030 bi-annual Future of Jobs Report has followed period. This report would not be possible without evolvi...",4
,Healthcare,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Preface Saadia Zahidi Managing Director World Economic Forum Over the past decade, the World Economic Forum’s the emerging jobs landscape for the 2025-2030 bi-annual Future of Jobs Report has followed period. This report would not be possible without evolvi...",4
,Finance,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Preface Saadia Zahidi Managing Director World Economic Forum Over the past decade, the World Economic Forum’s the emerging jobs landscape for the 2025-2030 bi-annual Future of Jobs Report has followed period. This report would not be possible without evolvi...",4
,Retail,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Preface Saadia Zahidi Managing Director World Economic Forum Over the past decade, the World Economic Forum’s the emerging jobs landscape for the 2025-2030 bi-annual Future of Jobs Report has followed period. This report would not be possible without evolvi...",4
,Transportation & Logistics,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Preface Saadia Zahidi Managing Director World Economic Forum Over the past decade, the World Economic Forum’s the emerging jobs landscape for the 2025-2030 bi-annual Future of Jobs Report has followed period. This report would not be possible without evolvi...",4
,Information Technology,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Preface Saadia Zahidi Managing Director World Economic Forum Over the past decade, the World Economic Forum’s the emerging jobs landscape for the 2025-2030 bi-annual Future of Jobs Report has followed period. This report would not be possible without evolvi...",4
,Manufacturing,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Key findings Technological change, geoeconomic fragmentation, engineers and electric and autonomous vehicle economic uncertainty, demographic shifts and the specialists, all among the 15 fastest-growing green transition – individually and in combination job...",5
,Healthcare,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Key findings Technological change, geoeconomic fragmentation, engineers and electric and autonomous vehicle economic uncertainty, demographic shifts and the specialists, all among the 15 fastest-growing green transition – individually and in combination job...",5
,Finance,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Key findings Technological change, geoeconomic fragmentation, engineers and electric and autonomous vehicle economic uncertainty, demographic shifts and the specialists, all among the 15 fastest-growing green transition – individually and in combination job...",5
,Retail,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Key findings Technological change, geoeconomic fragmentation, engineers and electric and autonomous vehicle economic uncertainty, demographic shifts and the specialists, all among the 15 fastest-growing green transition – individually and in combination job...",5
,Transportation & Logistics,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Key findings Technological change, geoeconomic fragmentation, engineers and electric and autonomous vehicle economic uncertainty, demographic shifts and the specialists, all among the 15 fastest-growing green transition – individually and in combination job...",5
,Information Technology,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Key findings Technological change, geoeconomic fragmentation, engineers and electric and autonomous vehicle economic uncertainty, demographic shifts and the specialists, all among the 15 fastest-growing green transition – individually and in combination job...",5
,Manufacturing,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"– Frontline job roles are predicted to see the most prominent skills differentiating growing largest growth in absolute terms of volume from declining jobs are anticipated to comprise and include Farmworkers, Delivery Drivers, resilience, flexibility and agility; resource Construction Workers, Sa...",6
,Healthcare,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"– Frontline job roles are predicted to see the most prominent skills differentiating growing largest growth in absolute terms of volume from declining jobs are anticipated to comprise and include Farmworkers, Delivery Drivers, resilience, flexibility and agility; resource Construction Workers, Sa...",6
,Finance,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"– Frontline job roles are predicted to see the most prominent skills differentiating growing largest growth in absolute terms of volume from declining jobs are anticipated to comprise and include Farmworkers, Delivery Drivers, resilience, flexibility and agility; resource Construction Workers, Sa...",6
,Retail,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"– Frontline job roles are predicted to see the most prominent skills differentiating growing largest growth in absolute terms of volume from declining jobs are anticipated to comprise and include Farmworkers, Delivery Drivers, resilience, flexibility and agility; resource Construction Workers, Sa...",6
,Transportation & Logistics,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"– Frontline job roles are predicted to see the most prominent skills differentiating growing largest growth in absolute terms of volume from declining jobs are anticipated to comprise and include Farmworkers, Delivery Drivers, resilience, flexibility and agility; resource Construction Workers, Sa...",6
,Information Technology,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"– Frontline job roles are predicted to see the most prominent skills differentiating growing largest growth in absolute terms of volume from declining jobs are anticipated to comprise and include Farmworkers, Delivery Drivers, resilience, flexibility and agility; resource Construction Workers, Sa...",6
,Manufacturing,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,January 2025 Future of Jobs Report 2025 Part I: The Future of Jobs 2025 Future of Jobs Report 2025 7,7
,Healthcare,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,January 2025 Future of Jobs Report 2025 Part I: The Future of Jobs 2025 Future of Jobs Report 2025 7,7
,Finance,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,January 2025 Future of Jobs Report 2025 Part I: The Future of Jobs 2025 Future of Jobs Report 2025 7,7
,Retail,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,January 2025 Future of Jobs Report 2025 Part I: The Future of Jobs 2025 Future of Jobs Report 2025 7,7
,Transportation & Logistics,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,January 2025 Future of Jobs Report 2025 Part I: The Future of Jobs 2025 Future of Jobs Report 2025 7,7
,Information Technology,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,January 2025 Future of Jobs Report 2025 Part I: The Future of Jobs 2025 Future of Jobs Report 2025 7,7
,Manufacturing,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Introduction: The global labour market landscape in 2025 The year 2025 unfolds amid ongoing 21.7%, it stands at just 10.1% for high-income transformations in global labour markets. Since economies, rising to 17.3% for upper-middle the COVID-19 pandemic, ris...",8
,Healthcare,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Introduction: The global labour market landscape in 2025 The year 2025 unfolds amid ongoing 21.7%, it stands at just 10.1% for high-income transformations in global labour markets. Since economies, rising to 17.3% for upper-middle the COVID-19 pandemic, ris...",8
,Finance,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Introduction: The global labour market landscape in 2025 The year 2025 unfolds amid ongoing 21.7%, it stands at just 10.1% for high-income transformations in global labour markets. Since economies, rising to 17.3% for upper-middle the COVID-19 pandemic, ris...",8
,Retail,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Introduction: The global labour market landscape in 2025 The year 2025 unfolds amid ongoing 21.7%, it stands at just 10.1% for high-income transformations in global labour markets. Since economies, rising to 17.3% for upper-middle the COVID-19 pandemic, ris...",8
,Transportation & Logistics,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Introduction: The global labour market landscape in 2025 The year 2025 unfolds amid ongoing 21.7%, it stands at just 10.1% for high-income transformations in global labour markets. Since economies, rising to 17.3% for upper-middle the COVID-19 pandemic, ris...",8
,Information Technology,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Introduction: The global labour market landscape in 2025 The year 2025 unfolds amid ongoing 21.7%, it stands at just 10.1% for high-income transformations in global labour markets. Since economies, rising to 17.3% for upper-middle the COVID-19 pandemic, ris...",8
,Manufacturing,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"based on the World Economic Forum’s Future and decline fastest, and the trends driving these of Jobs Survey, conducted in late 2024, which changes. Chapter 3 looks at projected changes brings together the perspectives of more than to the skills needed in the labour market, before 1,000 global emp...",9
,Healthcare,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"based on the World Economic Forum’s Future and decline fastest, and the trends driving these of Jobs Survey, conducted in late 2024, which changes. Chapter 3 looks at projected changes brings together the perspectives of more than to the skills needed in the labour market, before 1,000 global emp...",9
,Finance,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"based on the World Economic Forum’s Future and decline fastest, and the trends driving these of Jobs Survey, conducted in late 2024, which changes. Chapter 3 looks at projected changes brings together the perspectives of more than to the skills needed in the labour market, before 1,000 global emp...",9
,Retail,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"based on the World Economic Forum’s Future and decline fastest, and the trends driving these of Jobs Survey, conducted in late 2024, which changes. Chapter 3 looks at projected changes brings together the perspectives of more than to the skills needed in the labour market, before 1,000 global emp...",9
,Transportation & Logistics,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"based on the World Economic Forum’s Future and decline fastest, and the trends driving these of Jobs Survey, conducted in late 2024, which changes. Chapter 3 looks at projected changes brings together the perspectives of more than to the skills needed in the labour market, before 1,000 global emp...",9
,Information Technology,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"based on the World Economic Forum’s Future and decline fastest, and the trends driving these of Jobs Survey, conducted in late 2024, which changes. Chapter 3 looks at projected changes brings together the perspectives of more than to the skills needed in the labour market, before 1,000 global emp...",9
,Manufacturing,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Drivers of 1 labour-market transformation Technological developments, the green transition, required skills. This chapter provides a picture of macroeconomic and geoeconomic shifts, and how companies expect these macrotrends to drive demographic changes are...",10
,Healthcare,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Drivers of 1 labour-market transformation Technological developments, the green transition, required skills. This chapter provides a picture of macroeconomic and geoeconomic shifts, and how companies expect these macrotrends to drive demographic changes are...",10
,Finance,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Drivers of 1 labour-market transformation Technological developments, the green transition, required skills. This chapter provides a picture of macroeconomic and geoeconomic shifts, and how companies expect these macrotrends to drive demographic changes are...",10
,Retail,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Drivers of 1 labour-market transformation Technological developments, the green transition, required skills. This chapter provides a picture of macroeconomic and geoeconomic shifts, and how companies expect these macrotrends to drive demographic changes are...",10
,Transportation & Logistics,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Drivers of 1 labour-market transformation Technological developments, the green transition, required skills. This chapter provides a picture of macroeconomic and geoeconomic shifts, and how companies expect these macrotrends to drive demographic changes are...",10
,Information Technology,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Drivers of 1 labour-market transformation Technological developments, the green transition, required skills. This chapter provides a picture of macroeconomic and geoeconomic shifts, and how companies expect these macrotrends to drive demographic changes are...",10
,Manufacturing,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"their business. Of the nine technologies, three stand intelligence (AI) and information processing out as being expected to have the greatest impact. technologies that are expected to have the biggest Robots and autonomous systems are expected impact – with 86% of respondents expecting these to t...",11
,Healthcare,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"their business. Of the nine technologies, three stand intelligence (AI) and information processing out as being expected to have the greatest impact. technologies that are expected to have the biggest Robots and autonomous systems are expected impact – with 86% of respondents expecting these to t...",11
,Finance,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"their business. Of the nine technologies, three stand intelligence (AI) and information processing out as being expected to have the greatest impact. technologies that are expected to have the biggest Robots and autonomous systems are expected impact – with 86% of respondents expecting these to t...",11
,Retail,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"their business. Of the nine technologies, three stand intelligence (AI) and information processing out as being expected to have the greatest impact. technologies that are expected to have the biggest Robots and autonomous systems are expected impact – with 86% of respondents expecting these to t...",11
,Transportation & Logistics,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"their business. Of the nine technologies, three stand intelligence (AI) and information processing out as being expected to have the greatest impact. technologies that are expected to have the biggest Robots and autonomous systems are expected impact – with 86% of respondents expecting these to t...",11
,Information Technology,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"their business. Of the nine technologies, three stand intelligence (AI) and information processing out as being expected to have the greatest impact. technologies that are expected to have the biggest Robots and autonomous systems are expected impact – with 86% of respondents expecting these to t...",11
,Manufacturing,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"While currently seen as less transformative than Germany.15 This is partially reflected in Future GenAI, robots and autonomous systems have of Jobs Survey data, which shows significant seen steady growth of around 5-7% annually since expectations for the transformative impact of these 2020.13 In ...",12
,Healthcare,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"While currently seen as less transformative than Germany.15 This is partially reflected in Future GenAI, robots and autonomous systems have of Jobs Survey data, which shows significant seen steady growth of around 5-7% annually since expectations for the transformative impact of these 2020.13 In ...",12
,Finance,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"While currently seen as less transformative than Germany.15 This is partially reflected in Future GenAI, robots and autonomous systems have of Jobs Survey data, which shows significant seen steady growth of around 5-7% annually since expectations for the transformative impact of these 2020.13 In ...",12
,Retail,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"While currently seen as less transformative than Germany.15 This is partially reflected in Future GenAI, robots and autonomous systems have of Jobs Survey data, which shows significant seen steady growth of around 5-7% annually since expectations for the transformative impact of these 2020.13 In ...",12
,Transportation & Logistics,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"While currently seen as less transformative than Germany.15 This is partially reflected in Future GenAI, robots and autonomous systems have of Jobs Survey data, which shows significant seen steady growth of around 5-7% annually since expectations for the transformative impact of these 2020.13 In ...",12
,Information Technology,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"While currently seen as less transformative than Germany.15 This is partially reflected in Future GenAI, robots and autonomous systems have of Jobs Survey data, which shows significant seen steady growth of around 5-7% annually since expectations for the transformative impact of these 2020.13 In ...",12
,Manufacturing,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"Economic uncertainty larger share of household expenditures in these countries.19 Globally, governments are responding to geoeconomic challenges by imposing trade As of early 2025, the global economic outlook and investment restrictions, increasing subsidies, appears to be shaped by a combination...",13
,Healthcare,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"Economic uncertainty larger share of household expenditures in these countries.19 Globally, governments are responding to geoeconomic challenges by imposing trade As of early 2025, the global economic outlook and investment restrictions, increasing subsidies, appears to be shaped by a combination...",13
,Finance,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"Economic uncertainty larger share of household expenditures in these countries.19 Globally, governments are responding to geoeconomic challenges by imposing trade As of early 2025, the global economic outlook and investment restrictions, increasing subsidies, appears to be shaped by a combination...",13
,Retail,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"Economic uncertainty larger share of household expenditures in these countries.19 Globally, governments are responding to geoeconomic challenges by imposing trade As of early 2025, the global economic outlook and investment restrictions, increasing subsidies, appears to be shaped by a combination...",13
,Transportation & Logistics,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"Economic uncertainty larger share of household expenditures in these countries.19 Globally, governments are responding to geoeconomic challenges by imposing trade As of early 2025, the global economic outlook and investment restrictions, increasing subsidies, appears to be shaped by a combination...",13
,Information Technology,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"Economic uncertainty larger share of household expenditures in these countries.19 Globally, governments are responding to geoeconomic challenges by imposing trade As of early 2025, the global economic outlook and investment restrictions, increasing subsidies, appears to be shaped by a combination...",13
,Manufacturing,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"FIGURE 1.3 Geoeconomic trends, by economy Share of employers surveyed that expect the stated geoeconomic trend to transform their business. Viet Nam Singapore Indonesia Republic of Korea Increased restrictions to global trade and investment Malaysia Malaysia Uzbekistan Egypt Nigeria Increased gov...",14
,Healthcare,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"FIGURE 1.3 Geoeconomic trends, by economy Share of employers surveyed that expect the stated geoeconomic trend to transform their business. Viet Nam Singapore Indonesia Republic of Korea Increased restrictions to global trade and investment Malaysia Malaysia Uzbekistan Egypt Nigeria Increased gov...",14
,Finance,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"FIGURE 1.3 Geoeconomic trends, by economy Share of employers surveyed that expect the stated geoeconomic trend to transform their business. Viet Nam Singapore Indonesia Republic of Korea Increased restrictions to global trade and investment Malaysia Malaysia Uzbekistan Egypt Nigeria Increased gov...",14
,Retail,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"FIGURE 1.3 Geoeconomic trends, by economy Share of employers surveyed that expect the stated geoeconomic trend to transform their business. Viet Nam Singapore Indonesia Republic of Korea Increased restrictions to global trade and investment Malaysia Malaysia Uzbekistan Egypt Nigeria Increased gov...",14
